country,Global AI Score,GDP,Tool Adoption Rate,Avg Productivity Change (%),Cluster
United States Of America,100.0,37622.71399092268,49.92965908864555,18.446067724982267,2
China,62.92,12951.1782397043,49.62483793434968,18.446067724982267,2
United Kingdom,40.93,49200.8101526146,49.92965908864555,18.446067724982267,2
Canada,40.19,54220.3285039875,49.922905810227114,18.374924012158058,2
Israel,39.89,52003.7200729997,49.92965908864555,18.446067724982267,2
Singapore,38.67,85412.230345235,49.92965908864555,18.549985998319798,0
South Korea,38.6,37622.71399092268,49.88738858321871,18.49151112954514,2
The Netherlands,36.35,37622.71399092268,49.92965908864555,18.446067724982267,2
Germany,36.04,53940.4073447462,50.179163484901075,18.248475950783,1
France,34.42,44690.9345395117,49.78572363041701,18.627088854791463,0
Australia,33.86,64835.9199754535,49.991022210147385,18.41332873880083,2
Ireland,33.04,103887.800388081,49.92965908864555,18.446067724982267,0
Finland,31.36,52821.5114340717,49.92965908864555,18.446067724982267,2
Denmark,30.87,68453.8769281145,49.92965908864555,18.446067724982267,0
Luxembourg,30.73,131407.681364513,49.92965908864555,18.446067724982267,0
Japan,30.53,33836.1756271617,49.92965908864555,18.512598312598314,2
India,30.36,2530.12031278204,50.05920790035097,18.255049138299388,1
Switzerland,30.25,100631.802755125,49.92965908864555,18.553126317268514,0
Sweden,29.85,55567.0890080496,49.92965908864555,18.446067724982267,2
Hong Kong,29.11,37622.71399092268,49.92965908864555,18.446067724982267,2
Spain,26.95,33509.0127982139,49.92965908864555,18.446067724982267,2
Austria,26.89,56033.573792065,49.92965908864555,18.446067724982267,2
Estonia,26.6,30133.304450454,49.92965908864555,18.446067724982267,2
Taiwan,25.79,37622.71399092268,49.92965908864555,18.446067724982267,2
Norway,25.77,87497.3289297342,49.92965908864555,18.446067724982267,0
Saudi Arabia,25.6,36156.848337701,49.92965908864555,18.446067724982267,2
Belgium,25.52,54690.0942734964,49.92965908864555,18.446067724982267,2
Poland,25.2,22145.2643088909,49.92965908864555,18.446067724982267,2
Slovenia,25.19,32610.110922729,49.92965908864555,18.446067724982267,2
New Zealand,24.88,48654.904227478,49.92965908864555,18.446067724982267,2
Italy,24.45,39065.4244365633,49.92965908864555,18.446067724982267,2
Russia,21.99,37622.71399092268,49.92965908864555,18.446067724982267,2
Malta,21.85,40182.4313854634,49.92965908864555,18.446067724982267,2
United Arab Emirates,21.17,49040.6947521035,49.92965908864555,18.446067724982267,2
Portugal,20.89,27386.2920595024,49.92965908864555,18.446067724982267,2
Czech Republic,20.31,37622.71399092268,49.92965908864555,18.446067724982267,2
Iceland,19.81,79960.0961535662,49.92965908864555,18.446067724982267,0
Lithuania,19.59,27786.0057829276,49.92965908864555,18.446067724982267,2
Brazil,18.89,10377.5892792557,49.987023155552464,18.484567058180826,2
Greece,17.33,23400.7278817691,49.92965908864555,18.446067724982267,2
Slovakia,17.24,37622.71399092268,49.92965908864555,18.446067724982267,2
Hungary,17.0,22312.1790289763,49.92965908864555,18.446067724982267,2
Malaysia,16.66,11379.0851923557,49.92965908864555,18.446067724982267,2
Mexico,15.48,13826.1306570122,49.92965908864555,18.446067724982267,2
Chile,15.33,17067.0364799154,49.92965908864555,18.446067724982267,2
Argentina,15.24,14187.4827252965,49.92965908864555,18.446067724982267,2
Qatar,14.66,80195.8746508549,49.92965908864555,18.446067724982267,0
Turkey,14.39,37622.71399092268,49.92965908864555,18.446067724982267,2
Colombia,13.85,7000.83660501046,49.92965908864555,18.446067724982267,2
Uruguay,13.27,23019.4221560046,49.92965908864555,18.446067724982267,2
Bahrain,11.79,29290.1284215098,49.92965908864555,18.446067724982267,2
Vietnam,11.62,37622.71399092268,49.92965908864555,18.446067724982267,2
Indonesia,11.47,4876.30774512252,49.92965908864555,18.446067724982267,2
Tunisia,9.87,3950.3753419816,49.92965908864555,18.446067724982267,2
South Africa,9.71,6022.54254192335,49.92965908864555,18.396089464059642,2
Morocco,8.87,3771.4462890625,49.92965908864555,18.446067724982267,2
Armenia,8.49,8125.27395754003,49.92965908864555,18.446067724982267,2
Sri Lanka,6.62,3798.89016573011,49.92965908864555,18.446067724982267,2
Egypt,4.83,37622.71399092268,49.92965908864555,18.446067724982267,2
Kenya,2.3,1952.30457929636,49.92965908864555,18.446067724982267,2
Nigeria,1.38,1596.63696129001,49.92965908864555,18.446067724982267,2
Pakistan,0.0,1365.16927410976,49.92965908864555,18.446067724982267,2
